#Deleted in new
chr1	205985596	205985602	Q96AH8	0	-	205985596	205985602	255,153,0	1	6	0	.	GTP.
#Deleted in new
chr1	205992494	205992506	Q96AH8	0	-	205992494	205992506	255,153,0	1	12	0	.	GTP.
#Deleted in new
chr1	205992674	205992689	Q96AH8	0	-	205992674	205992689	255,153,0	1	15	0	.	GTP.
#Deleted in new
chr1	205993479	205993500	Q96AH8	0	-	205993479	205993500	255,153,0	1	21	0	.	GTP.
#Deleted in new
chr1	205993533	205994093	Q96AH8	0	-	205993533	205994093	255,153,0	1	560	0	.	GTP.
#Partially deleted in new
chr17	41878855	41883133	P53396	0	-	41878855	41883133	255,153,0	1	4278	0	.	ATP.
#Partially deleted in new
chr9	41182462	41183574	Q4V339	0	-	41182462	41183574	255,153,0	1	1112	0	.	ATP.
#Partially deleted in new
chr9	41186065	41189114	Q4V339	0	-	41186065	41189114	255,153,0	1	3049	0	.	ATP.
#Split in new
chr9	65676120	65679179	Q5RIA9	0	+	65676120	65679179	255,153,0	1	3059	0	.	ATP.
#Partially deleted in new
chr9	65681659	65682769	Q5RIA9	0	+	65681659	65682769	255,153,0	1	1110	0	.	ATP.
#Partially deleted in new
chrX	53415161	53422507	Q14683	0	-	53415161	53422507	255,153,0	1	7346	0	.	ATP.
#Partially deleted in new
chrX	154536163	154546044	P11413	0	-	154536163	154546044	255,153,0	1	9881	0	.	NADP	1.	Pubmed:15858258,	Pubmed:10745013
