#Partially deleted in new
chr1	1632338	1634622	O75900	0	+	1632338	1634622	204,0,0	1	2284	0	.	Lumenal.
#Partially deleted in new
chr1	12644621	12666732	Q5VUY2	0	+	12644621	12666732	204,0,0	1	22111	0	.	Lumenal.
#Partially deleted in new
chr1	63774504	64159024	Q01973	0	+	63774504	64159024	204,0,0	1	384520	0	.	Extracellular.
#Partially deleted in new
chr1	81907018	81969219	O95490	0	+	81907018	81969219	204,0,0	1	62201	0	.	Extracellular.
#Partially deleted in new
chr1	145893232	145907451	O75578	0	-	145893232	145907451	204,0,0	1	14219	0	.	Extracellular.
#Partially deleted in new
chr1	150258173	150263801	Q9ULX7	0	+	150258173	150263801	204,0,0	1	5628	0	.	Extracellular.
#Partially deleted in new
chr1	230067352	230279455	Q10471	0	+	230067352	230279455	204,0,0	1	212103	0	.	Lumenal.
#Partially deleted in new
chr1	235450208	235504183	Q8NCR0	0	-	235450208	235504183	204,0,0	1	53975	0	.	Lumenal.
#Partially deleted in new
chr1	235453999	235507974	Q8NCR0	0	-	235453999	235507974	204,0,0	1	53975	0	.	Lumenal.
#Partially deleted in new
chr10	46309190	46330081	A6NF34	0	+	46309190	46330081	204,0,0	1	20891	0	.	Cytoplasmic.
#Split in new
chr10	115093906	115519298	Q5VV63	0	+	115093906	115519298	204,0,0	1	425392	0	.	Extracellular.
#Partially deleted in new
chr11	46317414	46320743	Q96BA8	0	+	46317414	46320743	204,0,0	1	3329	0	.	Lumenal.
#Partially deleted in new
chr11	57346553	57368386	P56373	0	+	57346553	57368386	204,0,0	1	21833	0	.	Extracellular.
#Partially deleted in new
chr11	65128384	65131296	Q86TM6	0	-	65128384	65131296	204,0,0	1	2912	0	.	Cytoplasmic.
#Partially deleted in new
chr11	105611060	105924554	P48058	0	+	105611060	105924554	204,0,0	1	313494	0	.	Extracellular.
#Partially deleted in new
chr11	111786399	111838273	Q9H6U8	0	-	111786399	111838273	204,0,0	1	51874	0	.	Lumenal.
#Deleted in new
chr11	124250551	124250608	Q15617	0	+	124250551	124250608	204,0,0	1	57	0	.	Cytoplasmic.
#Partially deleted in new
chr12	21910207	21910876	O60706	0	-	21910207	21910876	204,0,0	1	669	0	.	Cytoplasmic.
#Split in new
chr12	108978598	109020868	Q8N4V2	0	-	108978598	109020868	204,0,0	1	42270	0	.	Cytoplasmic.
#Partially deleted in new
chr13	33016539	33064090	Q9UEF7	0	+	33016539	33064090	204,0,0	1	47551	0	.	Extracellular.
#Partially deleted in new
chr13	101068746	101074548	Q8IZF0	0	-	101068746	101074548	204,0,0	1	5802	0	.	Extracellular.
#Partially deleted in new
chr15	26971586	27520021	Q99928	0	+	26971586	27520021	204,0,0	1	548435	0	.	Extracellular.
#Partially deleted in new
chr15	32030908	32158503	P36544	0	+	32030908	32158503	204,0,0	1	127595	0	.	Extracellular.
#Partially deleted in new
chr15	63328101	63381648	O43570	0	-	63328101	63381648	204,0,0	1	53547	0	.	Extracellular.
#Split in new
chr16	18418463	18561947	Q5JPE7	0	-	18418463	18561947	204,0,0	1	143484	0	.	Lumenal.
#Partially deleted in new
chr16	18499972	18500999	Q5JPE7	0	-	18499972	18500999	204,0,0	1	1027	0	.	Cytoplasmic.
#Split in new
chr16	18501062	18561947	Q5JPE7	0	-	18501062	18561947	204,0,0	1	60885	0	.	Lumenal.
#Partially deleted in new
chr16	71944048	71947552	Q7Z443	0	-	71944048	71947552	204,0,0	1	3504	0	.	Cytoplasmic.
#Partially deleted in new
chr17	21703317	21704085	B7U540	0	+	21703317	21704085	204,0,0	1	768	0	.	Cytoplasmic.
#Split in new
chr17	38126883	38134354	Q6PRD1	0	-	38126883	38134354	204,0,0	1	7471	0	.	Cytoplasmic.
#Split in new
chr17	38135464	38135551	Q6PRD1	0	-	38135464	38135551	204,0,0	1	87	0	.	Extracellular.
#Partially deleted in new
chr17	38136080	38136104	Q6PRD1	0	-	38136080	38136104	204,0,0	1	24	0	.	Extracellular.
#Split in new
chr17	38136542	38137414	Q6PRD1	0	-	38136542	38137414	204,0,0	1	872	0	.	Cytoplasmic.
#Split in new
chr17	38137477	38144130	Q6PRD1	0	-	38137477	38144130	204,0,0	1	6653	0	.	Extracellular.
#Deleted in new
chr17	64449315	64460850	Q7Z6M3	0	+	64449315	64460850	204,0,0	1	11535	0	.	Extracellular.
#Partially deleted in new
chr17	64460913	64467614	Q7Z6M3	0	+	64460913	64467614	204,0,0	1	6701	0	.	Cytoplasmic.
#Partially deleted in new
